,sys,rnd,msg,itr,dvfs,rapl,joules,time,edp,llcmiss_total,cycles_total,ins_total,num_interrupts
0,linux,3,64,1,0xFFFF,135,299513,621935023,93138812271899.5,42884365147,4944233138579,3213843943852,10097
1,linux,2,524288,1,0xFFFF,135,7823561,14945159253,5.846218253527997e+16,858606844491,100915380074207,65379565136718,92350
2,linux,1,64,1,0xFFFF,135,298581,622830517,92982679298188.5,14058001420,1606696540539,1046592497032,10040
3,linux,5,65536,1,0xFFFF,135,2197893,4707927893,5173760880264724.0,560135560007,64371075727123,41363150944067,59064
4,linux,6,64,1,0xFFFF,135,295959,616373951,91210709082004.5,87168209657,9929091881001,6403288797484,10003
5,linux,3,8192,1,0xFFFF,135,1495747,3714915386,2778286771931671.0,251201936857,29216906907394,18980290426163,9970
6,linux,9,8192,1,0xFFFF,135,1501181,3727112248,2797535045782444.0,776403337779,88590293996932,57045098646924,10049
7,linux,9,524288,1,0xFFFF,135,7819123,14937323893,5.839838640510292e+16,3302166071895,378314032491518,243665910674054,92419
8,linux,8,524288,1,0xFFFF,135,7877231,14967773268,5.8952303793830456e+16,2957611456796,339070570106701,218208236336390,92124
9,linux,9,64,1,0xFFFF,135,299488,618772151,92657416979344.0,131868511843,15006023574066,9664703249538,10155
10,linux,5,524288,1,0xFFFF,135,7805114,14931592081,5.827138919685112e+16,1920485381891,220166040310927,141664278862905,92343
11,linux,4,65536,1,0xFFFF,135,2155847,4597810133,4956087590898826.0,443675287059,50663577328398,32466723459086,57858
12,linux,6,524288,1,0xFFFF,135,7865173,14961241817,5.883637759276967e+16,2258795996492,259557471576687,167146272220413,92686
13,linux,7,524288,1,0xFFFF,135,7870239,14974364327,5.892591306328208e+16,2606613703827,299534794500973,192805801573781,92630
14,linux,6,65536,1,0xFFFF,135,2148097,4583768750,4923189950284375.0,648749243224,74827102134948,48202394260168,57719
15,linux,0,524288,1,0xFFFF,135,7877768,14963671867,5.894016769817643e+16,183148969424,22262710906990,14448097357901,93367
16,linux,2,64,1,0xFFFF,135,297436,615947969,91602550053742.0,28193502111,3248719521360,2110282502245,10127
17,linux,4,524288,1,0xFFFF,135,7816302,14936729968,5.837499616116917e+16,1588670855256,181120478250814,116203864083728,93040
18,linux,7,8192,1,0xFFFF,135,1504188,3732775484,2807398044863496.0,602251076505,68973246482379,44455450888739,10011
19,linux,2,65536,1,0xFFFF,135,2159610,4610602145,4978551249181725.0,216193547387,25839665950077,16720293710297,58064
20,linux,9,65536,1,0xFFFF,135,1596292,2853803607,2277751933712622.0,611473765754,70183878287872,45177171927230,51347
21,linux,3,524288,1,0xFFFF,135,7807069,14932321899,5.828883369785202e+16,1255346281929,141946294672938,90755259440103,92330
22,linux,1,8192,1,0xFFFF,135,1503306,3732631258,2805643482969474.0,83513798913,9799621497484,6371582847197,10014
23,linux,7,64,1,0xFFFF,135,298482,620567481,92614111431921.0,102109325314,11649718593341,7510820759932,9997
24,linux,0,64,1,0xFFFF,135,298814,615409823,91946535424961.0,0,0,0,10111
25,linux,0,65536,1,0xFFFF,135,2645756,6463252393,8550094399147054.0,9764251708,2123437298327,1340673487211,17363
26,linux,7,65536,1,0xFFFF,135,2161574,4610469929,4982935963154123.0,759143143261,87542466279428,56374919177497,58052
27,linux,5,64,1,0xFFFF,135,299647,627523802,94017812348947.0,74532542795,8438299845320,5429063890299,10022
28,linux,5,8192,1,0xFFFF,135,1473492,3654584513,2692500521614698.0,424836684747,48346417109486,31096082933612,9879
29,linux,0,8192,1,0xFFFF,135,1509208,3733305587,2817167329172548.0,1186138723,405724653212,235368720079,10012
30,linux,4,64,1,0xFFFF,135,295553,615558454,90965073877531.0,59176687424,6630801068426,4255916163081,10129
31,linux,8,64,1,0xFFFF,135,297454,617313883,91811241876941.0,116201405360,13266580819426,8547240514155,10107
32,linux,8,8192,1,0xFFFF,135,1500672,3729443014,2798335353352704.0,687902070521,78792826384389,50753521889970,10014
33,linux,6,8192,1,0xFFFF,135,1486165,3686086180,2739066133849850.0,510106602827,58358335164466,37627364658000,10001
34,linux,1,524288,1,0xFFFF,135,7832673,14936217511,5.849525381026845e+16,519875080064,61742733504049,39891874259986,92889
35,linux,1,65536,1,0xFFFF,135,2158455,4608607814,4973736289583685.0,110713163598,13568225831905,8769766620379,57873
36,linux,4,8192,1,0xFFFF,135,1503068,3730202352,2803373894407968.0,350898305481,39575367689240,25392274588936,10030
37,linux,2,8192,1,0xFFFF,135,1503693,3732960812,2806613521139358.0,167898559715,19600555926194,12721673947057,10016
38,linux,3,65536,1,0xFFFF,135,2147997,4595822215,4935906165176678.0,339721130703,38539439467760,24559273659786,57348
39,linux,8,65536,1,0xFFFF,135,2151430,4600020360,4948310901557400.0,865344013978,99695556839625,64170925572439,57685
